Start putting: Tomkiewicz, Aleshia - Path: Root
Inserting: Gillham, Carmen - Path: Root
Start putting: Beyl, Ashlee - Path: Root
Inserting: Beyl, Ashlee - Path: Root
Start putting: Land, Vannessa - Path: Root
Inserting: Land, Vannessa - Path: Root
Start putting: Rempel, Patti - Path: Root
Inserting: Rempel, Patti - Path: Root
Start putting: Meyerhoff, German - Path: Root
Inserting: Meyerhoff, German - Path: Root
Start putting: Marse, Anika - Path: Root
Inserting: Marse, Anika - Path: Root
Start putting: Marola, Cristina - Path: Root
Inserting: Marola, Cristina - Path: Root
Start putting: Allis, Lemuel - Path: Root
Inserting: Allis, Lemuel - Path: Root
Start putting: Hysom, Joaquin - Path: Root
Inserting: Hysom, Joaquin - Path: Root
Start putting: Makuch, Kerrie - Path: Root
Inserting: Makuch, Kerrie - Path: Root
Start putting: Raterman, Alaine - Path: Root
Inserting: Raterman, Alaine - Path: Root
Start putting: Kobayashi, Shannon - Path: Root
Inserting: Kobayashi, Shannon - Path: Root
Start putting: Holman, Corinne - Path: Root
Inserting: Holman, Corinne - Path: Root
Start putting: Hallford, Heidy - Path: Root
Inserting: Hallford, Heidy - Path: Root
Start putting: Shonerd, Marylyn - Path: Root
Inserting: Shonerd, Marylyn - Path: Root
Start putting: Mortenson, Maryln - Path: Root
Inserting: Mortenson, Maryln - Path: Root
Start putting: Flori, Pearlie - Path: Root
Inserting: Flori, Pearlie - Path: Root
Start putting: Yaklin, Nina - Path: Root
Inserting: Yaklin, Nina - Path: Root
Start putting: Torrain, Vivienne - Path: Root
Inserting: Torrain, Vivienne - Path: Root
Start putting: Kippel, Jacob - Path: Root
Inserting: Kippel, Jacob - Path: Root
Start putting: Nahmias, Tula - Path: Root
Inserting: Nahmias, Tula - Path: Root
Start putting: Scandalis, Berry - Path: Root
Inserting: Scandalis, Berry - Path: Root
Start putting: Carsten, Kaycee - Path: Root
Inserting: Carsten, Kaycee - Path: Root
Start putting: Setter, Melvin - Path: Root
Inserting: Setter, Melvin - Path: Root
Start putting: Matsumura, Brianne - Path: Root
Inserting: Matsumura, Brianne - Path: Root
Start putting: Pelzer, Eugene - Path: Root
Inserting: Pelzer, Eugene - Path: Root
Start putting: Rohrs, Margery - Path: Root
Inserting: Rohrs, Margery - Path: Root
Start putting: Sarra, Noel - Path: Root
Inserting: Sarra, Noel - Path: Root
Start putting: Lingo, Beula - Path: Root
Inserting: Lingo, Beula - Path: Root
Start putting: Mckenize, Sheridan - Path: Root
Inserting: Mckenize, Sheridan - Path: Root
Start putting: Meinert, Dino - Path: Root
Inserting: Meinert, Dino - Path: Root
Start putting: Rubinstein, Rebbeca - Path: Root
Inserting: Rubinstein, Rebbeca - Path: Root
Start putting: Reisling, Celia - Path: Root
Inserting: Reisling, Celia - Path: Root
Start putting: Weatherwax, Stefania - Path: Root
Inserting: Weatherwax, Stefania - Path: Root
Start putting: Luchterhand, Leah - Path: Root
Inserting: Luchterhand, Leah - Path: Root
Start putting: Selma, Billy - Path: Root
Inserting: Selma, Billy - Path: Root
Start putting: Lucore, Doug - Path: Root
Inserting: Lucore, Doug - Path: Root
Start putting: Mcclodden, Veronica - Path: Root
Inserting: Mcclodden, Veronica - Path: Root
Start putting: Kho, Laquanda - Path: Root
Inserting: Kho, Laquanda - Path: Root
Start putting: Poitra, Mohammad - Path: Root
Inserting: Poitra, Mohammad - Path: Root
Start putting: Westad, Mozell - Path: Root
Inserting: Westad, Mozell - Path: Root
Start putting: Bridgford, Bronwyn - Path: Root
Inserting: Bridgford, Bronwyn - Path: Root
Start putting: Brossoit, Jeff - Path: Root
Inserting: Brossoit, Jeff - Path: Root
Start putting: Hopman, Shantay - Path: Root
Inserting: Hopman, Shantay - Path: Root
Start putting: Jirsa, Chantay - Path: Root
Inserting: Jirsa, Chantay - Path: Root
Start putting: Stpierrie, Keneth - Path: Root
Inserting: Stpierrie, Keneth - Path: Root
Start putting: Rampy, Alton - Path: Root
Inserting: Rampy, Alton - Path: Root
Start putting: Teisberg, Patrick - Path: Root
Inserting: Teisberg, Patrick - Path: Root
Start putting: Merriam, Theron - Path: Root
Inserting: Merriam, Theron - Path: Root
Start putting: Seelig, Pilar - Path: Root
Inserting: Seelig, Pilar - Path: Root
Start putting: Argiro, Lashunda - Path: Root
Inserting: Argiro, Lashunda - Path: Root
Start putting: Chiphe, Verda - Path: Root
Inserting: Chiphe, Verda - Path: Root
Start putting: Tropp, Ashley - Path: Root
Inserting: Tropp, Ashley - Path: Root
Start putting: Havely, Vesta - Path: Root
Inserting: Havely, Vesta - Path: Root
Start putting: Ritthaler, Emogene - Path: Root
Inserting: Ritthaler, Emogene - Path: Root
Start putting: Mordhorst, Shayne - Path: Root
Inserting: Mordhorst, Shayne - Path: Root
Start putting: Charry, Franchesca - Path: Root
Inserting: Charry, Franchesca - Path: Root
Start putting: Ringlein, Elmira - Path: Root
Inserting: Ringlein, Elmira - Path: Root
Start putting: Madlem, Destiny - Path: Root
Inserting: Madlem, Destiny - Path: Root
Start putting: Szumski, Gaston - Path: Root
Inserting: Szumski, Gaston - Path: Root
Start putting: Mittler, Ronna - Path: Root
Inserting: Mittler, Ronna - Path: Root
Start putting: Poisso, Angelica - Path: Root
Inserting: Poisso, Angelica - Path: Root
Start putting: Arzilli, Casie - Path: Root
Inserting: Arzilli, Casie - Path: Root
Start putting: Cocherell, Magdalene - Path: Root
Inserting: Cocherell, Magdalene - Path: Root
Start putting: Gath, Erasmo - Path: Root
Inserting: Gath, Erasmo - Path: Root
Start putting: Ziv, Rosalia - Path: Root
Inserting: Ziv, Rosalia - Path: Root
Start putting: Cronholm, Lyda - Path: Root
Inserting: Cronholm, Lyda - Path: Root
Start putting: Stueber, Lisandra - Path: Root
Inserting: Stueber, Lisandra - Path: Root
Start putting: Prok, Sabina - Path: Root
Inserting: Prok, Sabina - Path: Root
Start putting: Gomoran, Elenore - Path: Root
Inserting: Gomoran, Elenore - Path: Root
Start putting: Capra, Brynn - Path: Root
Inserting: Capra, Brynn - Path: Root
Start putting: Flory, Leeann - Path: Root
Inserting: Flory, Leeann - Path: Root
Start putting: Steimer, Janet - Path: Root
Inserting: Steimer, Janet - Path: Root
Start putting: Mellom, Lewis - Path: Root
Inserting: Mellom, Lewis - Path: Root
Start putting: Driscol, Jestine - Path: Root
Inserting: Driscol, Jestine - Path: Root
Start putting: Parks, Tatum - Path: Root
Inserting: Parks, Tatum - Path: Root
Start putting: Bendle, Kayleigh - Path: Root
Inserting: Bendle, Kayleigh - Path: Root
Start putting: Imondi, Lili - Path: Root
Inserting: Imondi, Lili - Path: Root
Start putting: Senechal, Sunshine - Path: Root
Inserting: Senechal, Sunshine - Path: Root
Start putting: Heier, Remona - Path: Root
Inserting: Heier, Remona - Path: Root
Start putting: Carris, Gail - Path: Root
Inserting: Carris, Gail - Path: Root
Start putting: Oropeza, Dong - Path: Root
Inserting: Oropeza, Dong - Path: Root
Start putting: Ocacio, Larue - Path: Root
Inserting: Ocacio, Larue - Path: Root
Start putting: Sonkens, Goldie - Path: Root
Inserting: Sonkens, Goldie - Path: Root
Start putting: Plues, Shelia - Path: Root
Inserting: Plues, Shelia - Path: Root
Start putting: Araiza, Narcisa - Path: Root
Inserting: Araiza, Narcisa - Path: Root
Start putting: Frede, Evelynn - Path: Root
Inserting: Frede, Evelynn - Path: Root
Start putting: Calaf, Arlean - Path: Root
Inserting: Calaf, Arlean - Path: Root
Start putting: Yu, Tamra - Path: Root
Inserting: Yu, Tamra - Path: Root
Start putting: Maricle, Dusti - Path: Root
Inserting: Maricle, Dusti - Path: Root
Start putting: Donham, Aracelis - Path: Root
Inserting: Donham, Aracelis - Path: Root
Start putting: Fredrikson, Filiberto - Path: Root
Inserting: Fredrikson, Filiberto - Path: Root
Start putting: Stackpole, Leana - Path: Root
Inserting: Stackpole, Leana - Path: Root
Start putting: Homer, Man - Path: Root
Inserting: Homer, Man - Path: Root
Start putting: Asley, Lennie - Path: Root
Inserting: Asley, Lennie - Path: Root
Start putting: Naomi, Arletta - Path: Root
Inserting: Naomi, Arletta - Path: Root
Start putting: Perera, Chana - Path: Root
Inserting: Perera, Chana - Path: Root
Start putting: Pao, Nell - Path: Root
Inserting: Pao, Nell - Path: Root
Start putting: Heilig, Antonio - Path: Root
Inserting: Heilig, Antonio - Path: Root
Start putting: Kernagis, Gerald - Path: Root
Inserting: Kernagis, Gerald - Path: Root
Start putting: Mandril, Sueann - Path: Root
Inserting: Mandril, Sueann - Path: Root
Start putting: Hoyal, Alayna - Path: Root
Inserting: Hoyal, Alayna - Path: Root
Start putting: Marthe, Talia - Path: Root
Inserting: Marthe, Talia - Path: Root
Start putting: Kopan, Pansy - Path: Root
Inserting: Kopan, Pansy - Path: Root
Start putting: Saik, Royce - Path: Root
Inserting: Saik, Royce - Path: Root
Start putting: Sorrel, Cherelle - Path: Root
Inserting: Sorrel, Cherelle - Path: Root
Start putting: Dibartolo, Dudley - Path: Root
Inserting: Dibartolo, Dudley - Path: Root
Start putting: Aldaco, Nettie - Path: Root
Inserting: Aldaco, Nettie - Path: Root
Start putting: Bulcao, Carline - Path: Root
Inserting: Bulcao, Carline - Path: Root
Start putting: Lunger, Shanda - Path: Root
Inserting: Lunger, Shanda - Path: Root
Start putting: Withers, Emilio - Path: Root
Inserting: Withers, Emilio - Path: Root
Start putting: Study, Lovetta - Path: Root
Inserting: Study, Lovetta - Path: Root
Start putting: Gone, Felice - Path: Root
Inserting: Gone, Felice - Path: Root
Start putting: Leadbeater, Stefania - Path: Root
Inserting: Leadbeater, Stefania - Path: Root
Start putting: Orloski, Margarita - Path: Root
Inserting: Orloski, Margarita - Path: Root
Start putting: Farrin, Paul - Path: Root
Inserting: Farrin, Paul - Path: Root
Start putting: Tritten, Anglea - Path: Root
Inserting: Tritten, Anglea - Path: Root
Start putting: Bowhall, Ona - Path: Root
Inserting: Bowhall, Ona - Path: Root
Start putting: Hascall, Germaine - Path: Root
Inserting: Hascall, Germaine - Path: Root
Start putting: Schellenberge, Vicky - Path: Root
Inserting: Schellenberge, Vicky - Path: Root
Start putting: Gross, Carolann - Path: Root
Inserting: Gross, Carolann - Path: Root
Start putting: Adelsperger, Rusty - Path: Root
Inserting: Adelsperger, Rusty - Path: Root
Start putting: Bludworth, Cassandra - Path: Root
Inserting: Bludworth, Cassandra - Path: Root
Start putting: Gesell, Teresita - Path: Root
Inserting: Gesell, Teresita - Path: Root
Start putting: Gius, Evangelina - Path: Root
Inserting: Gius, Evangelina - Path: Root
Start putting: Tromblay, Marlon - Path: Root
Inserting: Tromblay, Marlon - Path: Root
Start putting: Scarsella, Quiana - Path: Root
Inserting: Scarsella, Quiana - Path: Root
Start putting: Humeniuk, Viki - Path: Root
Inserting: Humeniuk, Viki - Path: Root
Start putting: Weissmann, Domitila - Path: Root
Inserting: Weissmann, Domitila - Path: Root
Start putting: Aronov, Ivan - Path: Root
Inserting: Aronov, Ivan - Path: Root
Start putting: Baldock, Anabel - Path: Root
Inserting: Baldock, Anabel - Path: Root
Start putting: Blyler, Carlton - Path: Root
Inserting: Blyler, Carlton - Path: Root
Start putting: Vera, Rashida - Path: Root
Inserting: Vera, Rashida - Path: Root
Start putting: Knodel, Sherron - Path: Root
Inserting: Knodel, Sherron - Path: Root
Start putting: Mossing, Cora - Path: Root
Inserting: Mossing, Cora - Path: Root
Start putting: Tischner, Altha - Path: Root
Inserting: Tischner, Altha - Path: Root
Start putting: Yaccarino, Dortha - Path: Root
Inserting: Yaccarino, Dortha - Path: Root
Start putting: Augle, Diego - Path: Root
Inserting: Augle, Diego - Path: Root
Start putting: Khov, Peggy - Path: Root
Inserting: Khov, Peggy - Path: Root
Start putting: Yuki, Walton - Path: Root
Inserting: Yuki, Walton - Path: Root
Start putting: Yafaie, Vallie - Path: Root
Inserting: Yafaie, Vallie - Path: Root
Start putting: Diazdeleon, Tony - Path: Root
Inserting: Diazdeleon, Tony - Path: Root
Start putting: Villot, Val - Path: Root
Inserting: Villot, Val - Path: Root
Start putting: Picciuto, Mel - Path: Root
Inserting: Picciuto, Mel - Path: Root
Start putting: Piatkowski, Isabella - Path: Root
Inserting: Piatkowski, Isabella - Path: Root
Start putting: Rhea, Erasmo - Path: Root
Inserting: Rhea, Erasmo - Path: Root
Start putting: Lohrenz, Ivory - Path: Root
Inserting: Lohrenz, Ivory - Path: Root
Start putting: Walka, Nikita - Path: Root
Inserting: Walka, Nikita - Path: Root
Start putting: Ligons, Aleta - Path: Root
Inserting: Ligons, Aleta - Path: Root
Start putting: Jentzen, Owen - Path: Root
Inserting: Jentzen, Owen - Path: Root
Start putting: Fling, Pauline - Path: Root
Inserting: Fling, Pauline - Path: Root
Start putting: Machalek, Tijuana - Path: Root
Inserting: Machalek, Tijuana - Path: Root
Start putting: Alsaqri, Ahmad - Path: Root
Inserting: Alsaqri, Ahmad - Path: Root
Start putting: Conoly, Jamika - Path: Root
Inserting: Conoly, Jamika - Path: Root
Start putting: Dolloff, Derrick - Path: Root
Inserting: Dolloff, Derrick - Path: Root
Start putting: Reibman, Jacquelyne - Path: Root
Inserting: Reibman, Jacquelyne - Path: Root
Start putting: Freeburger, Zachary - Path: Root
Inserting: Freeburger, Zachary - Path: Root
Start putting: Gaucher, Sophia - Path: Root
Inserting: Gaucher, Sophia - Path: Root
Start putting: Kono, Isabelle - Path: Root
Inserting: Kono, Isabelle - Path: Root
Start putting: Brigman, Ronnie - Path: Root
Inserting: Brigman, Ronnie - Path: Root
Start putting: Schlabaugh, Krystina - Path: Root
Inserting: Schlabaugh, Krystina - Path: Root
Start putting: Ausdemore, Rosita - Path: Root
Inserting: Ausdemore, Rosita - Path: Root
Start putting: Stancil, Huey - Path: Root
Inserting: Stancil, Huey - Path: Root
Start putting: Fiorino, Elbert - Path: Root
Inserting: Fiorino, Elbert - Path: Root
Start putting: Manciel, Pura - Path: Root
Inserting: Manciel, Pura - Path: Root
Start putting: Katie, Alesia - Path: Root
Inserting: Katie, Alesia - Path: Root
Start putting: Veit, Avery - Path: Root
Inserting: Veit, Avery - Path: Root
Start putting: Euresti, Reid - Path: Root
Inserting: Euresti, Reid - Path: Root
Start putting: Brenning, Charlette - Path: Root
Inserting: Brenning, Charlette - Path: Root
Start putting: Keeny, Celestina - Path: Root
Inserting: Keeny, Celestina - Path: Root
Start putting: Richan, Mi - Path: Root
Inserting: Richan, Mi - Path: Root
Display DB: Start - Path: 
Not Found: s - Path: Root
Retrieve: s - Path: Not Found
Remove Attempt: r - Path: Node not found - Base case reached
Remove Attempt: G - Path: Node not found - Base case reached
Remove Attempt: d - Path: Node not found - Base case reached
Display DB: Start - Path: 
